Product Code,Description,category
BS1387MGS0.753,"3/4"" x 3 metre length Galvanised Pipe",3 metre length Galvanised Pipe
BS1387MGS13,"1"" x 3 metre length Galvanised Pipe",3 metre length Galvanised Pipe
BS1387MGS1.53,"1 1/2"" x 3 metre length Galvanised Pipe",3 metre length Galvanised Pipe
BS1387MGS23,"2"" x 3 metre length Galvanised Pipe",3 metre length Galvanised Pipe
BS1387MGS33,"3"" x 3 metre length Galvanised Pipe",3 metre length Galvanised Pipe
MLG1760.75,"3/4"" Socket",Socket
MLG1761,"1"" Socket",Socket
MLG1761.25,"1 1/4"" Socket",Socket
MLG1761.5,"1 1/2"" Socket",Socket
MLG1762,"2"" Socket",Socket
MLG1763,"3"" Socket",Socket
MLG1520.75,"3/4"" M/F Elbow", M/F Elbow
MLG1521,"1"" M/F Elbow", M/F Elbow
MLG1521.25,"1 1/4"" M/F Elbow", M/F Elbow
MLG1521.5,"1 1/2"" M/F Elbow", M/F Elbow
MLG1522,"2"" M/F Elbow", M/F Elbow
MLG1523,"3"" M/F Elbow", M/F Elbow
MLG1510.75,"3/4"" F/F Elbow",F/F Elbow
MLG1511,"1"" F/F Elbow",F/F Elbow
MLG1511.25,"1 1/4"" F/F Elbow",F/F Elbow
MLG1511.5,"1 1/2"" F/F Elbow",F/F Elbow
MLG1512,"2"" F/F Elbow",F/F Elbow
MLG1523F,"3"" F/F Elbow",F/F Elbow
MLG1440.75,"3/4"" Hex Nipple",Hex Nipple
MLG1441,"1"" Hex Nipple",Hex Nipple
MLG1441.25,"1 1/4"" Hex Nipple",Hex Nipple
MLG1441.5,"1 1/2""Hex Nipple",Hex Nipple
MLG1442,"2"" Hex Nipple",Hex Nipple
MLG1443,"3"" Hex Nipple",Hex Nipple
BNGE2S,"2"" BSP 6"" Long Nipple",Long Nipple
BNGE2A,"2"" BSP 12"" Long Nipple",Long Nipple
BNG0.75,"3/4"" Barrel Nipple",Barrel Nipple
BNG1,"1"" Barrel Nipple",Barrel Nipple
BNG1.25,"1 1/4"" Barrel Nipple",Barrel Nipple
BNG1.5,"1 1/2"" Barrel Nipple",Barrel Nipple
BNG2,"2"" Barrel Nipple",Barrel Nipple
BNG3,"3"" Barrel Nipple",Barrel Nipple
MLG2560.75,"3/4"" Union",Union
MLG2561,"1"" Union",Union
MLG2561.25,"1.25"" Union",Union
MLG2561.5,"1.5"" Union",Union
MLG1401X0.75,"1""x 3/4"" Bush",Bush
MLG1401.25X1,"1 1/4"" x 1"" Bush",Bush
MLG1402X0.75,"2"" x 3/4"" Bush",Bush
